70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
9.13E-06,,1.57E-05,,1.80E-05,,7.81E-06,,8.48E-06,9.91E-06,,3.83E-06,3.86E-06,,,1.04E-06,,,1.70E-06,2.08E-06
-3.61E-05,,-1.20E-05,,-1.44E-05,,-6.50E-06,,-6.80E-06,-7.88E-06,,-3.00E-06,-3.15E-06,,,-1.85E-06,,,-1.39E-06,-1.53E-06
1.88E-05,,1.81E-06,,2.19E-06,,9.40E-07,,1.01E-06,1.20E-06,,6.22E-07,4.76E-07,,,-2.65E-07,,,2.07E-07,2.21E-07
-1.03E-05,,-1.09E-06,,-1.40E-06,,-6.29E-07,,-6.58E-07,-7.65E-07,,-1.44E-07,-3.00E-07,,,-5.99E-07,,,-1.43E-07,-1.41E-07
1.27E-05,,5.59E-07,,6.03E-07,,3.27E-07,,2.85E-07,3.31E-07,,3.34E-07,1.46E-07,,,-3.36E-07,,,6.10E-08,6.03E-08
1.72E-05,,3.84E-07,,4.27E-07,,2.78E-07,,2.01E-07,2.34E-07,,2.98E-07,1.08E-07,,,-3.11E-07,,,4.51E-08,4.33E-08
9.32E-06,,-2.98E-07,,-2.64E-07,,-2.76E-08,,-1.28E-07,-1.43E-07,,1.11E-07,-4.87E-08,,,-3.53E-07,,,-3.31E-08,-2.61E-08
2.68E-05,,6.66E-08,,-9.05E-08,,1.15E-07,,-4.22E-08,-4.90E-08,,1.31E-07,-4.78E-09,,,-2.78E-07,,,-1.28E-08,-9.97E-09
1.88E-05,,-8.46E-08,,1.31E-07,,3.09E-07,,6.17E-08,7.26E-08,,1.63E-07,4.85E-08,,,-1.82E-07,,,1.28E-08,1.45E-08
1.05E-05,,-1.85E-08,,5.90E-08,,2.45E-07,,3.03E-08,3.27E-08,,1.03E-07,3.94E-08,,,-1.28E-07,,,1.04E-08,6.52E-09
6.70E-06,,-7.88E-09,,8.09E-09,,3.05E-07,,3.79E-09,5.04E-09,,2.54E-08,2.52E-08,,,-7.73E-08,,,-6.43E-09,1.00E-09
2.51E-06,,-1.32E-08,,-1.72E-08,,3.24E-07,,-1.02E-08,-8.68E-09,,-3.85E-08,1.45E-08,,,-2.56E-08,,,-2.11E-08,-1.73E-09
9.90E-06,,8.74E-09,,-5.95E-09,,4.11E-07,,-1.54E-09,-2.90E-09,,-6.91E-08,3.05E-08,,,6.30E-08,,,-6.90E-09,-4.92E-10
1.07E-05,,3.05E-07,,1.70E-08,,3.88E-07,,1.06E-08,9.36E-09,,-1.02E-07,4.83E-08,,,1.44E-07,,,4.52E-09,2.05E-09
2.05E-05,,6.23E-07,,-9.69E-09,,3.65E-07,,-2.47E-09,-5.09E-09,,-1.57E-07,4.51E-08,,,2.11E-07,,,-1.86E-09,-8.97E-10
9.64E-06,,7.05E-07,,4.42E-09,,3.35E-07,,4.13E-09,2.69E-09,,-1.94E-07,4.84E-08,,,2.75E-07,,,-7.62E-09,5.74E-10
